deal_id,account_id,company_name,industry,employee_band,business_model,geography,company_stage,dscr,debt_to_ebitda_ratio,years_in_business,collateral_type,loan_purpose,existing_banking_relationship,credit_rating,outcome,deal_created_date,deal_closed_date,referred_by_portfolio,loan_amount_band,prior_default_flag,referral_source_quality
D157,acc_157,Company_157,Construction,500+,B2B,Southwest,startup,1.65,2.19,28,inventory,working_capital,yes,B,lost,2021-09-06,2024-03-11,no,over_20m,no,none
D158,acc_158,Company_158,Retail,201-500,B2B,Northeast,startup,1.43,4.09,1,unsecured,equipment_financing,no,BB,lost,2022-07-01,2024-04-07,no,under_1m,no,none
D159,acc_159,Company_159,Logistics,201-500,B2B,Southwest,startup,1.19,3.07,28,receivables,acquisition,no,BB,lost,2022-10-13,2024-02-12,no,1m_5m,no,none
D160,acc_160,Company_160,Healthcare,500+,B2B,Southwest,mature,0.77,2.21,10,real_estate,equipment_financing,no,B,lost,2021-09-13,2023-10-05,no,over_20m,no,none
D161,acc_161,Company_161,Retail,500+,B2B,Southwest,mature,0.82,3.23,6,inventory,refinancing,yes,A,lost,2021-08-05,2022-07-18,no,over_20m,no,none
D162,acc_162,Company_162,Professional_Services,500+,B2B,Southwest,growth,0.82,4.89,26,equipment,expansion,yes,A,lost,2021-09-10,2022-08-19,no,under_1m,yes,none
D163,acc_163,Company_163,Logistics,51-200,B2B,Southwest,mature,1.67,1.75,24,receivables,acquisition,yes,BBB,lost,2021-12-27,2024-04-10,no,5m_20m,no,low
D164,acc_164,Company_164,Professional_Services,51-200,B2B,West,startup,1.61,2.92,26,unsecured,expansion,no,AA,lost,2023-03-26,2022-04-26,no,5m_20m,no,none
D165,acc_165,Company_165,Retail,51-200,B2B,Southeast,growth,1.87,3.26,19,inventory,acquisition,yes,AA,lost,2022-01-09,2024-03-23,no,1m_5m,no,low
D166,acc_166,Company_166,Food_Beverage,500+,B2B,Midwest,growth,0.78,5.29,21,receivables,refinancing,no,AAA,lost,2023-02-13,2024-12-09,no,over_20m,no,none
D167,acc_167,Company_167,Manufacturing,201-500,B2B,Midwest,mature,0.72,7.33,21,inventory,working_capital,no,AA,lost,2022-04-16,2023-06-27,no,1m_5m,no,none
D168,acc_168,Company_168,Manufacturing,500+,B2B,Midwest,startup,0.73,6.2,15,real_estate,working_capital,yes,BBB,lost,2022-01-14,2022-12-05,no,1m_5m,no,low
D169,acc_169,Company_169,Logistics,51-200,B2B,Northeast,growth,0.71,5.49,21,equipment,working_capital,no,B,lost,2022-12-23,2022-07-21,no,under_1m,no,none
D170,acc_170,Company_170,Healthcare,201-500,B2B,Northeast,startup,1.37,4.62,15,real_estate,working_capital,no,AAA,lost,2022-12-05,2023-02-08,no,under_1m,yes,none
D171,acc_171,Company_171,Logistics,201-500,B2B,Southeast,growth,0.78,6.14,25,equipment,equipment_financing,yes,BB,lost,2023-01-20,2024-03-15,no,1m_5m,no,none
D172,acc_172,Company_172,Professional_Services,500+,B2B,Northeast,startup,0.71,2.1,25,real_estate,acquisition,no,A,lost,2022-06-26,2022-04-09,no,1m_5m,no,none
D173,acc_173,Company_173,Manufacturing,51-200,B2B,Southeast,mature,1.74,2.73,20,unsecured,equipment_financing,no,A,lost,2023-01-26,2022-08-13,no,over_20m,yes,none
D174,acc_174,Company_174,Manufacturing,500+,B2B,Northeast,growth,1.81,2.29,28,unsecured,refinancing,no,BB,lost,2023-03-25,2023-02-01,no,under_1m,no,low
D175,acc_175,Company_175,Manufacturing,51-200,B2B,Midwest,startup,1.83,3.89,10,unsecured,refinancing,no,B,lost,2022-02-21,2024-09-20,no,under_1m,no,low
D176,acc_176,Company_176,Technology,201-500,B2B,West,startup,1.3,3.84,21,real_estate,expansion,no,B,lost,2021-01-08,2022-07-04,no,under_1m,no,none
D177,acc_177,Company_177,Retail,500+,B2B,Midwest,startup,0.62,2.32,1,equipment,refinancing,no,BB,lost,2023-12-09,2022-06-05,no,under_1m,yes,none
D178,acc_178,Company_178,Food_Beverage,51-200,B2B,Midwest,growth,1.28,3.08,19,real_estate,refinancing,no,BB,lost,2022-01-16,2024-03-12,no,under_1m,yes,low
D179,acc_179,Company_179,Manufacturing,201-500,B2B,Southeast,startup,1.72,1.57,2,receivables,expansion,no,AA,lost,2021-01-18,2024-12-21,no,5m_20m,no,none
D180,acc_180,Company_180,Logistics,201-500,B2B,Midwest,growth,1.67,4.93,4,unsecured,working_capital,yes,AA,won,2023-01-13,2022-08-28,no,5m_20m,yes,none
D181,acc_181,Company_181,Professional_Services,51-200,B2B,Southeast,startup,1.08,3.25,26,inventory,acquisition,yes,BBB,lost,2022-10-16,2022-12-18,no,under_1m,no,low
D182,acc_182,Company_182,Technology,500+,B2B,Southeast,mature,1.05,6.54,29,real_estate,expansion,yes,B,lost,2022-12-24,2023-02-07,no,over_20m,no,low
D183,acc_183,Company_183,Retail,500+,B2B,Southwest,mature,0.96,1.76,8,unsecured,refinancing,no,BBB,lost,2023-02-19,2022-09-05,no,under_1m,yes,none
D184,acc_184,Company_184,Retail,500+,B2B,Northeast,startup,0.98,6.61,30,receivables,expansion,no,BBB,lost,2022-04-03,2022-03-25,no,1m_5m,yes,low
D185,acc_185,Company_185,Professional_Services,500+,B2B,West,growth,1.01,2.22,12,equipment,refinancing,no,BBB,lost,2022-02-03,2022-11-10,no,under_1m,no,none
D186,acc_186,Company_186,Retail,500+,B2B,Southeast,startup,1.52,7.31,13,unsecured,working_capital,no,A,lost,2021-01-13,2023-09-24,no,under_1m,no,low
D187,acc_187,Company_187,Retail,201-500,B2B,Northeast,startup,0.62,6.48,8,equipment,equipment_financing,no,A,lost,2023-11-21,2022-10-19,no,under_1m,yes,low
D188,acc_188,Company_188,Professional_Services,201-500,B2B,Northeast,startup,0.72,6.58,26,inventory,working_capital,yes,BBB,lost,2021-03-19,2023-12-13,no,over_20m,no,low
D189,acc_189,Company_189,Logistics,51-200,B2B,Midwest,startup,1.78,3.15,15,equipment,working_capital,yes,B,lost,2022-08-14,2024-08-02,no,over_20m,no,none
D190,acc_190,Company_190,Technology,500+,B2B,Midwest,mature,1.75,4.65,21,unsecured,working_capital,no,B,lost,2022-08-18,2023-06-19,no,over_20m,no,low
D191,acc_191,Company_191,Manufacturing,500+,B2B,Southeast,growth,1.38,1.68,26,inventory,working_capital,no,BB,lost,2022-10-08,2022-02-08,no,5m_20m,yes,low
D192,acc_192,Company_192,Food_Beverage,201-500,B2B,West,growth,1.82,7.45,6,equipment,equipment_financing,no,B,lost,2023-06-19,2022-12-23,no,1m_5m,no,none
D193,acc_193,Company_193,Construction,51-200,B2B,Midwest,startup,1.24,2.04,8,unsecured,equipment_financing,yes,BB,lost,2022-01-11,2024-04-26,no,1m_5m,no,low
D194,acc_194,Company_194,Manufacturing,201-500,B2B,Midwest,startup,1.36,7.0,25,real_estate,acquisition,no,AAA,lost,2022-12-22,2023-10-04,no,5m_20m,no,low
D195,acc_195,Company_195,Food_Beverage,500+,B2B,Midwest,mature,1.85,5.4,6,unsecured,acquisition,no,AA,lost,2023-10-27,2022-07-10,no,1m_5m,no,none
D196,acc_196,Company_196,Manufacturing,201-500,B2B,Southeast,mature,1.83,3.85,25,unsecured,working_capital,yes,BB,lost,2022-10-08,2024-10-04,no,5m_20m,yes,low
D197,acc_197,Company_197,Logistics,51-200,B2B,Northeast,growth,0.82,6.81,3,inventory,refinancing,yes,A,lost,2021-04-23,2022-06-09,no,under_1m,no,none
D198,acc_198,Company_198,Food_Beverage,201-500,B2B,Northeast,startup,1.75,4.46,13,inventory,acquisition,no,AAA,lost,2022-10-21,2024-04-06,no,under_1m,no,low
D199,acc_199,Company_199,Logistics,51-200,B2B,Southwest,growth,1.84,1.95,6,receivables,equipment_financing,yes,BB,lost,2021-06-20,2024-08-23,no,1m_5m,no,low
D200,acc_200,Company_200,Manufacturing,500+,B2B,West,startup,1.03,7.35,14,unsecured,acquisition,no,B,lost,2022-05-08,2022-01-13,no,over_20m,no,low
